run,energy_GeV,label,v_up,v_down,beam,capillary,status
2597,125,125GeV,42.25,42.25,125 GeV e-,"3xDSB1, 1xEnergy",DONE
2598,125,125GeV,42.25,42.25,125 GeV e-,"3xDSB1, 1xEnergy",DONE
2599,125,125GeV,42.25,42.25,125 GeV e-,"3xDSB1, 1xEnergy",DONE
2600,125,125GeV,42.25,42.25,125 GeV e-,"3xDSB1, 1xEnergy",DONE
2530,150,150GeV,42.25,42.25,150 GeV e-,"3xDSB1, 1xEnergy",DONE
2531,150,150GeV,42.25,42.25,150 GeV e-,"3xDSB1, 1xEnergy",DONE
2532,150,150GeV,42.25,42.25,150 GeV e-,"3xDSB1, 1xEnergy",DONE
2533,150,150GeV,42.25,42.25,150 GeV e-,"3xDSB1, 1xEnergy",DONE
2534,150,150GeV,42.25,42.25,150 GeV e-,"3xDSB1, 1xEnergy",DONE
2535,150,150GeV,42.25,42.25,150 GeV e-,"3xDSB1, 1xEnergy",DONE
2536,150,150GeV,42.25,42.25,150 GeV e-,"3xDSB1, 1xEnergy",DONE
2537,150,150GeV,42.25,42.25,150 GeV e-,"3xDSB1, 1xEnergy",DONE
2538,150,150GeV,42.25,42.25,150 GeV e-,"3xDSB1, 1xEnergy",DONE
2539,150,150GeV,42.25,42.25,150 GeV e-,"3xDSB1, 1xEnergy",DONE
2540,150,150GeV,42.25,42.25,150 GeV e-,"3xDSB1, 1xEnergy",DONE
2541,150,150GeV,42.25,42.25,150 GeV e-,"3xDSB1, 1xEnergy",DONE
2542,150,150GeV,42.25,42.25,150 GeV e-,"3xDSB1, 1xEnergy",DONE
2543,150,150GeV,42.25,42.25,150 GeV e-,"3xDSB1, 1xEnergy",DONE
2544,150,150GeV,42.25,42.25,150 GeV e-,"3xDSB1, 1xEnergy",DONE
2545,150,150GeV,42.25,42.25,150 GeV e-,"3xDSB1, 1xEnergy",DONE
2546,150,150GeV,42.25,42.25,150 GeV e-,"3xDSB1, 1xEnergy",DONE
2547,150,150GeV,42.25,42.25,150 GeV e-,"3xDSB1, 1xEnergy",DONE
2548,150,150GeV,42.25,42.25,150 GeV e-,"3xDSB1, 1xEnergy",DONE
2549,150,150GeV,42.25,42.25,150 GeV e-,"3xDSB1, 1xEnergy",DONE
2550,150,150GeV,42.25,42.25,150 GeV e-,"3xDSB1, 1xEnergy",DONE
2551,150,150GeV,42.25,42.25,150 GeV e-,"3xDSB1, 1xEnergy",DONE
2552,150,150GeV,42.25,42.25,150 GeV e-,"3xDSB1, 1xEnergy",DONE
2553,150,150GeV,42.25,42.25,150 GeV e-,"3xDSB1, 1xEnergy",DONE
2554,150,150GeV,42.25,42.25,150 GeV e-,"3xDSB1, 1xEnergy",DONE
2555,150,150GeV,42.25,42.25,150 GeV e-,"3xDSB1, 1xEnergy",DONE
2556,150,150GeV,42.25,42.25,150 GeV e-,"3xDSB1, 1xEnergy",DONE
2557,150,150GeV,42.25,42.25,150 GeV e-,"3xDSB1, 1xEnergy",DONE
2558,150,150GeV,42.25,42.25,150 GeV e-,"3xDSB1, 1xEnergy",DONE
2559,150,150GeV,42.25,42.25,150 GeV e-,"3xDSB1, 1xEnergy",DONE
2560,150,150GeV,42.25,42.25,150 GeV e-,"3xDSB1, 1xEnergy",DONE
