,10:22 AM,"Beam back, finished an access to check D0-G0-C1, fixed it but may fail again. Returning to R100 data taking ",,,,,,,,Thomas A,,,
,11:15 AM,"Operating normally again, had to cancel run 100 and restart with run 101 ",,,,,,,,Thomas A,,,
,11:48 AM,"DRS Hung again at around ~100 k events, stopped run, reduced events / run to 50k for the near-term, D0-G0-C1 back to broken, think it's a loose / disconnected cap or similar, wil attempt a repair later today ",,,,,,,,Thomas A,,,
,12:03 PM,"Reviewing data from Run 102, then will rename and then restart voltage scan",,,,,,,,Thomas A,,,
,1:20 PM,"Finished access to slightly move the MCP to make it more aligned with the RADiCAL Module, raised MCP Bias to -3kV, and confirmed output cap on D0-G0-C1 appears the problem, will go back inside after Alexi arrives to solder it again.",,,,,,,,"TA, RR, WY, LZ",,,
,,"MCP +5mm towards JURA, +1mm upward ",,,,,,,,,,,
,2:48 PM,"Beam still down, finished repair of G0-G0-C1 channel, think it's good at this point. Problem was a capacitor. We'll know better once beam returns and we can take a few spills",,,,,,,,Thomas A ,,,
,4:07 PM,"Beam has returned, channel D0-G0-C1 is fixed, taking some test runs t100, t102, will return to main sequence after a discussion with Sasha",,,,,,,,Thomas A ,,,
,4:58 PM,Taking runs at 30k / run due to corruption issue. I found that if the DRS locks and you stop getting triggers you can avoid power-cycling by reloading the A2818 Driver,,,,,,,,Thomas A ,,,
,10:42 PM,"Finished ~1 million at 125 GeV for 41.25V, ran some bias tests and in discussion with Randy going to run higher at 42.25 V and take 1 million more events before moving to a lower energy",,,,,,,,Thomas A ,,,
,11:52 PM,"Beam went down for about 45 minutes, now back running ",,,,,,,,Thomas A ,,,
,,,,,,,,,,,,,
,"Day 3 - Friday, May 26th",,,,,,,,,,,,
,16:00 - 24:00,,,,,,,,,,,,
,Plan:,,,,,,,,,,,,
,On Shift:,Ohannes,Thomas A,Carlos,,,,,,,,,
,Notes:,,,,,,,,,,,,
,20:00,Started data taking of electrons at 125 GeV. All deterctors work fine,,,,,,,,,,,
,20:00,HOW TO RUN DAQ,,,,,,,,,,,Notes by Carlos
,,cd RADiCAL/,,,,,,,,,,,Notes by Carlos
,,source takerun.sh RUNNUMBER,,,Known issues:,1) From time to time the crate in the ebamline will overheat. At that time the red light in the bottom of the crate will turn on and you will hear a buzzing,,,,,,,Notes by Carlos
,,,,,,,How to know that is happening: You will see a noise in the triggers: DRS will trigger even without beam at around 100 Hz,,,,,,Notes by Carlos
,,,,,,,How to solve: Make access and recycle power in the crate. Then ask for beam back,,,,,,Notes by Carlos
,,,,,,2) From time to time the CONET will stop commuinication with the DRS units.,,,,,,,Notes by Carlos
,,,,,,,How to know that is happening: You will not been able to start the DAQ,,,,,,Notes by Carlos
,,,,,,,How to solve: Resintall the CAEN driver,,,,,,Notes by Carlos
,,,,,,,,cd ~/CAENLibs/A2818Drv,,,,,Notes by Carlos
,,,,,,,,sudo sh a2818_load,,,,,Notes by Carlos
,,,,,,,,pass|: 123daq3,,,,,Notes by Carlos
,21:00,Doing runs of 30k each to ease handling,,,,,,,,,,,Notes by Carlos
,23:00,How to change bias voltage,,cat takerun.sh,,,,,,,,,Notes by Carlos
,,,,run one of the commented python commands,,,,,,,,,Notes by Carlos
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,*** SiPM BIAS VOLTAGE SCAN ***. Goal is to determine max bias before saturation at 125 GeV,,,,,,,,,,,,
,Run Number,Status,Trigger,N Events,Beam,Upstream Bias,Downstream Bias,I (Measured),Capillary Type,Beam Profile,Who is Taking Data,Notes,
,100,,2 cm x 2 cm,500k,125 GeV e-,41.25,41.25,,DSB1,,"Berkan, Onur, Randy Carlos",Occasional synchronicity issues,
,"*** SiPM BIAS VOLTAGE SCAN ***. Once Nominal Upstream V is determined, Increment Downstream by 1 V at 400k Events Each at 125 GeV e-",,,,,,,,,,,,
,Run Number,Status,Trigger,N Events,Beam,Upstream Bias,Downstream Bias,I (Measured),Capillary Type,DATE TIME,Who is Taking Data,Notes,
